experiment,config_fingerprint,track,trial,snr_db,rsr_db,N,K,P,modulation,algorithm,metric,value,error_energy,true_energy,expected_symbol_energy,bit_errors,bit_count,status,error_type,error_message,master_seed,sigma2,alpha_b_abs,max_iter
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,12,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.0041999599205290042,0.012599879761587014,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,1,12,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.010977764280831782,0.032933292842495347,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,-5,12,36,3,1,16-QAM,biased_gs,detection_nmse,2.4259551066303966,7.2778653198911902,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,-5,12,36,3,1,16-QAM,em_gs,detection_nmse,1.4350494601933101,4.3051483805799302,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,-5,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.18447280433947003,0.5534184130184101,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,-5,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.7767162292438452,2.3301486877315356,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,0,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.13360713408858754,0.40082140226576263,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,0,12,36,3,1,16-QAM,em_gs,detection_nmse,0.083199169658102368,0.2495975089743071,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,0,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.045195730870455829,0.13558719261136748,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,0,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.20349939011423057,0.61049817034269172,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,6,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.085429442198386177,0.25628832659515854,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,6,12,36,3,1,16-QAM,em_gs,detection_nmse,0.083339378879118145,0.25001813663735445,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,6,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.016102869501952739,0.048308608505858219,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,6,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.045995637330921435,0.13798691199276431,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,12,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.0089255529245785038,0.026776658773735511,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349731,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,12,12,36,3,1,16-QAM,em_gs,detection_nmse,0.0081503939755550852,0.024451181926665254,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349731,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,12,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.001185238830402614,0.0035557164912078422,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349731,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,2,12,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.011163503610677437,0.033490510832032312,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349731,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,-5,12,36,3,1,16-QAM,biased_gs,detection_nmse,2.035364081861625,6.1060922455848745,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,-5,12,36,3,1,16-QAM,em_gs,detection_nmse,1.2707393824262458,3.8122181472787378,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,-5,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.60918169635908259,1.8275450890772478,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,-5,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.69800215540963428,2.0940064662289029,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,0,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.098954728588203381,0.29686418576461016,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,0,12,36,3,1,16-QAM,em_gs,detection_nmse,0.087278454686141829,0.2618353640584255,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,0,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.023603465421653202,0.070810396264959607,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,0,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.20179479944518783,0.60538439833556346,,3,,,ok,,,20260818,3,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,6,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.08486551711329042,0.25459655133987125,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,6,12,36,3,1,16-QAM,em_gs,detection_nmse,0.064504735112768233,0.19351420533830471,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,6,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.024833664909034509,0.074500994727103531,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,6,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.046690213747424825,0.14007064124227447,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,12,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.0051183667971383623,0.015355100391415086,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,12,12,36,3,1,16-QAM,em_gs,detection_nmse,0.0056688884879187995,0.017006665463756399,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,12,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.0026081826799434142,0.0078245480398302421,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,3,12,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.010980246597176826,0.032940739791530477,,3,,,ok,,,20260818,0.18928720334405799,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,4,-5,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.74763632912334399,2.2429089873700319,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,4,-5,12,36,3,1,16-QAM,em_gs,detection_nmse,0.47065451404799075,1.4119635421439722,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,4,-5,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.14461804634945122,0.43385413904835363,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,4,-5,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.82132698982818886,2.4639809694845667,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349727,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,4,0,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.67274978082505132,2.018249342475154,,3,,,ok,,,20260818,3,3.9810717055349722,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,4,0,12,36,3,1,16-QAM,em_gs,detection_nmse,0.57456041427272375,1.7236812428181714,,3,,,ok,,,20260818,3,3.9810717055349722,50
