algorithm,rsr_db,ber,ber_ci95_low,ber_ci95_high,bit_errors,bit_count,n_trials
genie_zf,3.0,0.0,0.0,0.00021336884294835114,0,18000,3000
genie_zf,4.0,0.0,0.0,0.00021336884294835114,0,18000,3000
genie_zf,5.0,0.0,0.0,0.00021336884294835114,0,18000,3000
genie_zf,6.0,0.0,0.0,0.00021336884294835114,0,18000,3000
genie_zf,7.0,0.0,0.0,8.002398774667768e-05,0,48000,8000
genie_zf,8.0,0.0,0.0,8.002398774667768e-05,0,48000,8000
genie_zf,9.0,0.0,0.0,8.002398774667768e-05,0,48000,8000
genie_zf,10.0,0.0,0.0,8.002398774667768e-05,0,48000,8000
genie_zf,11.0,0.0,0.0,8.002398774667768e-05,0,48000,8000
genie_zf,12.0,0.0,0.0,8.002398774667768e-05,0,48000,8000
genie_zf,13.0,0.0,0.0,8.002398774667768e-05,0,48000,8000
genie_zf,14.0,2.0833333333333333e-05,3.6776043607701815e-06,0.00011800971571975138,1,48000,8000
genie_zf,15.0,0.0,3.3881317890172014e-21,4.572956133889707e-05,0,84000,14000
genie_zf,16.0,0.0,3.3881317890172014e-21,4.572956133889707e-05,0,84000,14000
genie_zf,17.0,1.1904761904761905e-05,2.1014858878728974e-06,6.743651046146849e-05,1,84000,14000
genie_zf,18.0,0.0,3.3881317890172014e-21,4.572956133889707e-05,0,84000,14000
genie_zf,19.0,0.0,3.3881317890172014e-21,4.572956133889707e-05,0,84000,14000
genie_zf,20.0,0.0,3.3881317890172014e-21,4.572956133889707e-05,0,84000,14000
genie_zf,21.0,0.0,3.3881317890172014e-21,4.572956133889707e-05,0,84000,14000
genie_zf,22.0,0.0,3.3881317890172014e-21,4.572956133889707e-05,0,84000,14000
genie_zf,23.0,0.0,3.3881317890172014e-21,4.572956133889707e-05,0,84000,14000
genie_zf,24.0,1.1904761904761905e-05,2.1014858878728974e-06,6.743651046146849e-05,1,84000,14000
genie_zf,25.0,0.0,3.3881317890172014e-21,4.572956133889707e-05,0,84000,14000
