algorithm,snr_db,rsr_db,n_ok,n_failed,nmse_linear,nmse_db,se_linear,se_db,nmse_db_ci95_low,nmse_db_ci95_high,total_error_energy,total_expected_symbol_energy
em_gs,3.0,1.0,500,0,0.29433805882584874,-5.311535786431714,0.02137807810987158,0.3154325809530198,-5.929772284650148,-4.69329928821328,441.5070882387731,1500.0
em_gs,3.0,2.0,500,0,0.26986928442411673,-5.6884654250617075,0.021957627022415455,0.35335908167074737,-6.38103649874652,-4.995894351376895,404.8039266361751,1500.0
em_gs,3.0,3.0,500,0,0.20673881452354537,-6.845779783757216,0.013867838289530253,0.2913205079050936,-7.416757487209115,-6.274802080305316,310.10822178531805,1500.0
em_gs,3.0,4.0,500,0,0.1795022584683618,-7.459300828284104,0.010378415399683042,0.25109926623995704,-7.951446346658854,-6.967155309909354,269.2533877025427,1500.0
em_gs,3.0,5.0,500,0,0.16976528479527705,-7.701511136400584,0.011338177452019862,0.2900538769272037,-8.270006288754116,-7.133015984047051,254.64792719291557,1500.0
em_gs,3.0,6.0,500,0,0.14151328249027453,-8.492027951820491,0.00518969946210529,0.15926828912921986,-8.804188062393074,-8.179867841247908,212.2699237354118,1500.0
em_gs,3.0,7.0,500,0,0.14225332493795548,-8.469375738936574,0.005855138334751275,0.17875534864803702,-8.819729784330626,-8.119021693542521,213.37998740693322,1500.0
em_gs,3.0,8.0,500,0,0.12708774166814876,-8.958963375862265,0.004766388331683644,0.16288086670573423,-9.278204008376173,-8.639722743348356,190.63161250222316,1500.0
em_gs,3.0,9.0,500,0,0.12269295195517566,-9.111803844196182,0.0037093664368631337,0.13129991162616486,-9.369146942156757,-8.854460746235606,184.0394279327635,1500.0
em_gs,3.0,10.0,500,0,0.12581693682962664,-9.002608924635565,0.004969124465780638,0.1715240721764899,-9.338789928583134,-8.666427920687996,188.72540524443997,1500.0
em_gs,3.0,11.0,500,0,0.11978566257102781,-9.215951605686994,0.003790791728607547,0.137438813163683,-9.485326729565742,-8.946576481808247,179.6784938565417,1500.0
