algorithm,rsr_db,n_ok,n_failed,failure_rate,nmse_db,median_nmse_db,aggregate_minus_median_db,worse_than_zero_rate,top1pct_energy_share,top5pct_energy_share
genie_zf,8.0,500,0,0.0,-13.503465418258966,-14.254564825569654,0.7510994073106882,0.0,0.03274283601304214,0.13582926940023035
genie_zf,9.0,500,0,0.0,-13.432834063906682,-14.014655321813718,0.5818212579070359,0.0,0.03425206188467957,0.1280204682200925
genie_zf,10.0,500,0,0.0,-13.566610578618732,-13.904522464855987,0.3379118862372543,0.0,0.030890656350730898,0.1171179968724712
genie_zf,11.0,500,0,0.0,-13.559957368768814,-14.097890324782558,0.5379329560137442,0.0,0.03226658526113789,0.13050217349069249
genie_zf,12.0,500,0,0.0,-13.594846158977383,-14.260659086197451,0.6658129272200686,0.0,0.03402054077163301,0.1326285991968267
genie_zf,13.0,500,0,0.0,-13.456970740466819,-14.044904041046955,0.5879333005801364,0.0,0.04050036049462851,0.13473015567923066
genie_zf,14.0,500,0,0.0,-13.580246435771276,-14.146081289461973,0.5658348536906974,0.0,0.03402363852550117,0.13682240622562125
genie_zf,15.0,500,0,0.0,-13.647154237843317,-14.272695305034313,0.625541067190996,0.0,0.035844295192353264,0.13783318723849683
genie_zf,16.0,500,0,0.0,-13.518768179041693,-14.089367619861733,0.5705994408200397,0.0,0.033953980191735594,0.13177406152482526
genie_zf,17.0,500,0,0.0,-13.618919333689952,-14.288499089461414,0.669579755771462,0.0,0.03868768232103537,0.1390445884096394
genie_zf,18.0,500,0,0.0,-13.529737565960279,-13.922585077726977,0.3928475117666981,0.0,0.03764713329434604,0.12590434371723497
genie_zf,19.0,500,0,0.0,-13.5865137410946,-14.021332558953572,0.4348188178589716,0.0,0.035398679287345546,0.1405153678776104
genie_zf,20.0,500,0,0.0,-13.386390246994392,-14.041303942547088,0.6549136955526969,0.0,0.03270952440435535,0.13214825140353922
genie_zf,21.0,500,0,0.0,-13.606021493038742,-14.08968503165002,0.4836635386112782,0.0,0.03255734895466357,0.12607333965452885
genie_zf,22.0,500,0,0.0,-13.653214739536125,-14.3064648404808,0.6532501009446747,0.0,0.03196514672079123,0.132150551755946
genie_zf,23.0,500,0,0.0,-13.635036861930478,-14.129670849837186,0.4946339879067079,0.0,0.029346257182803072,0.12379578727945068
genie_zf,24.0,500,0,0.0,-13.535721953363993,-14.169978333126746,0.6342563797627534,0.0,0.038715902691678517,0.1386854922952219
genie_zf,25.0,500,0,0.0,-13.781399062337755,-14.351326524993608,0.569927462655853,0.0,0.036830295652609674,0.133057071738884
