tag,N,K,P,L,n,snr,em_db,hs_db,median_gain,ratio_gain,rho,inactive_fraction
array_N32_P30_S+20,32,3,30,,400,20.0,-25.77340725814728,-28.38169662357107,2.7491224776426604,2.6082893654237904,0.2376881863410197,0.0
path_L2,32,3,30,2,300,5.0,-10.681194228074931,-18.05850264268926,7.849594385490835,7.377308414614328,0.11800800671486297,0.0
path_L4,32,3,30,4,300,5.0,-10.728019562709882,-14.319670973314631,3.8550241005647696,3.5916514106047486,0.20628299714909162,0.0
path_L6,32,3,30,6,300,5.0,-10.598902117202954,-12.588274494167411,2.196844259934044,1.9893723769644578,0.2845672730301696,0.0033333333333333335
path_L8,32,3,30,8,300,5.0,-10.650986578885185,-11.781709398298677,1.1884373285597656,1.1307228194134924,0.3504860721745789,0.0033333333333333335
path_L10,32,3,30,10,300,5.0,-10.650005047358192,-11.153494413403553,0.603252113367742,0.5034893660453587,0.4063301206148837,0.023333333333333334
path_L12,32,3,30,12,300,5.0,-10.656311928154887,-10.745539400495012,0.20895225056703054,0.08922747234012565,0.4571491840277325,0.03666666666666667
path_L14,32,3,30,14,300,5.0,-10.642020889479237,-10.663684444564295,0.09823896013260286,0.02166355508505385,0.5029018543338244,0.043333333333333335
path_L16,32,3,30,16,300,5.0,-10.692495857357931,-10.567910574604575,0.0,-0.12458528275335579,0.5431993331977246,0.09
rho_N16_L2,16,3,20,2,400,,-1.1535147410481303,-3.1894012697344305,4.169880199133074,2.0358865286863,0.23271655998313645,0.0075
rho_N16_L4,16,3,20,4,400,,-0.5485383053699713,-1.9011282205251927,1.5320067187159012,1.3525899151552219,0.3771100144512908,0.0225
rho_N16_L7,16,3,20,7,400,,-1.3060286736266256,-2.229651735780988,0.3232095623728239,0.9236230621543629,0.5369473475493549,0.095
rho_N16_L9,16,3,20,9,400,,-1.6802076420471264,-2.4096025141474353,0.0,0.7293948721003094,0.6083472753203129,0.2
rho_N16_L14,16,3,20,14,400,,-1.6540270939869197,-2.143741657870074,0.0,0.4897145638831545,0.732344285706032,0.3575
rho_N64_L8,64,3,20,8,300,,-0.987739526726902,-3.783055846601207,3.962301688680677,2.7953163198743045,0.19774980940728543,0.0
rho_N64_L14,64,3,20,14,300,,-1.2916336908528068,-3.2979637564445383,1.90550156465397,2.0063300655917313,0.30354344462808824,0.0
rho_N64_L29,64,3,20,29,300,,-0.6768531365788778,-2.2194174691187616,0.2489549171563213,1.5425643325398841,0.4972504848859468,0.01
rho_N64_L38,64,3,20,38,300,,-0.8906999350926202,-1.9918836961162016,0.007361136300959145,1.1011837610235815,0.5928635794461468,0.03
rho_N64_L48,64,3,20,48,300,,-0.5706308921991627,-1.5825036951718898,0.0,1.0118728029727273,0.6692022849958834,0.13
distribution_clustered,32,3,20,,400,,-1.58193614184641,-3.2897222079508053,1.1818211351765826,1.707786066104395,0.3352052706589559,0.0025
distribution_ten_path,32,3,20,,400,,-1.0534033813882213,-2.642854868898618,0.8305878200768098,1.5894514875103964,0.4069149601688137,0.0225
users_K2,32,2,13,5,400,,-0.7254366069653418,-3.3195909566656874,3.1847695175733497,2.5941543497003456,0.24623680016404076,0.0025
users_K3,32,3,20,5,400,,-1.208400549718465,-3.314099758002363,3.235073571024534,2.105699208283898,0.24699537546104366,0.005
users_K4,32,4,27,5,400,,-0.6145742194236035,-2.2301166941825663,2.916708018728193,1.615542474758963,0.247800408858161,0.005
placement_S-5,32,3,30,,300,-5.0,0.6776628164188081,-2.4520141999031337,3.3198069401006833,3.129677016321943,0.2333362918274455,0.0
placement_S+0,32,3,30,,300,0.0,-5.1292946115494145,-7.553362762136712,2.540302665013521,2.4240681505872965,0.2369212705203541,0.0
placement_S+5,32,3,30,,300,5.0,-10.64849417808545,-13.050958817747787,2.546695233429281,2.4024646396623357,0.23501075202049537,0.0033333333333333335
placement_S+10,32,3,30,,300,10.0,-15.81552413854207,-18.312119852824726,2.6716320703239362,2.4965957142826554,0.23454137242597,0.0
placement_S+15,32,3,30,,300,15.0,-20.85101419686985,-23.29740194585534,2.673114447256446,2.4463877489854897,0.23962363726643165,0.0033333333333333335
placement_S+20,32,3,30,,300,20.0,-25.839859799255503,-28.538379703349918,2.835471699228652,2.6985199040944203,0.2352693682986045,0.0
matchedrho_N32_L2,32,3,20,2,400,,-0.4515165615738032,-3.6734563019450195,7.135610691258132,3.2219397403712158,0.11908471365168413,0.0025
matchedrho_N32_L4,32,3,20,4,400,,-0.971932634644451,-3.118194648336236,3.938096203579992,2.1462620136917856,0.2106912399007964,0.0025
matchedrho_N32_L6,32,3,20,6,400,,-0.7820871687335763,-2.5314380974036417,2.331115851071848,1.7493509286700655,0.2860954987360065,0.0125
matchedrho_N32_L8,32,3,20,8,400,,-0.924216673827022,-2.690503973206819,1.5851389079658844,1.7662872993797973,0.35125395230500156,0.01
matchedrho_N32_L10,32,3,20,10,400,,-0.8238920423666017,-2.2246650579679197,0.9203671937004863,1.4007730156013185,0.41211281388014137,0.025
matchedrho_N32_L12,32,3,20,12,400,,-0.8384575314962146,-2.22664328101522,0.5708691947288643,1.388185749519006,0.4579041002692401,0.02
matchedrho_N32_L14,32,3,20,14,400,,-1.2543088983019957,-2.435304475525778,0.34925790050742456,1.1809955772237823,0.5024641771314687,0.025
matchedrho_N32_L16,32,3,20,16,400,,-1.3933771413484215,-2.3838923698939034,0.1406278378226466,0.9905152285454819,0.5356472360542185,0.06
