algorithm,snr_db,n_ok,n_failed,failure_rate,nmse_db,median_nmse_db,aggregate_minus_median_db,p10_nmse_db,p25_nmse_db,p50_nmse_db,p75_nmse_db,p90_nmse_db,p95_nmse_db,p99_nmse_db,worse_than_zero_rate,top1pct_energy_share,top5pct_energy_share,max_nmse_linear
cui_crlb,11.0,2000,0,0.0,-18.440014216056213,-18.472316624238466,0.03230240818225383,-18.625309352368134,-18.562115033859524,-18.472316624238466,-18.3522885839225,-18.224494659195255,-18.127721703966603,-17.9728877892448,0.0,0.011381891165151854,0.05499232493276568,0.01736378932497945
cui_crlb,12.0,2000,0,0.0,-19.451289615019476,-19.48516430222784,0.03387468720836395,-19.633483029202306,-19.575481941015298,-19.48516430222784,-19.367328998232875,-19.24038606221889,-19.148188445005857,-18.915223827732348,0.0,0.011687761285498657,0.0553554350791524,0.014459881692262415
em_gs,-5.0,2000,0,0.0,-0.4385134312412369,-1.2958318819866366,0.8573184507453997,-5.55660132309992,-3.360203511523795,-1.2958318819866366,0.6365023284255633,2.224455998263397,3.3569070345454497,5.287509750143306,0.3225,0.045415612257850214,0.1618925922978525,5.835264479293877
em_gs,-4.0,2000,0,0.0,-1.5148680697029269,-2.491059425521811,0.9761913558188842,-6.667488720340989,-4.568546360314606,-2.491059425521811,-0.5560093012065835,1.3530158442261428,2.3745951219569266,4.498178536891903,0.201,0.04798287347175044,0.16819341376199334,5.387049515059677
em_gs,-3.0,2000,0,0.0,-2.5764946334356353,-3.632964028413151,1.0564693949775155,-7.786505382156813,-5.718304188064602,-3.632964028413151,-1.6407399252189514,0.3561390033634344,1.3763788375270902,3.450151333378346,0.122,0.0540211543919868,0.174437983960837,8.543955403065516
em_gs,-2.0,2000,0,0.0,-3.7651411677587,-4.752424281724824,0.9872831139661242,-8.918381831140788,-6.925931410393638,-4.752424281724824,-2.825820433616472,-0.9507536519628129,0.146756499054749,2.3000863859021967,0.053,0.05525477329493768,0.17541618155346606,3.415008922457238
em_gs,-1.0,2000,0,0.0,-5.015733247821559,-5.979522678731644,0.9637894309100847,-10.154546225728716,-8.008748999262064,-5.979522678731644,-3.960822946264186,-2.196976418470741,-1.2306814143215168,0.7648394559221293,0.0195,0.05012364578844152,0.16489480777708507,2.7341508631291416
em_gs,0.0,2000,0,0.0,-5.973724610845408,-6.79340635819074,0.8196817473453324,-10.958398000259164,-8.964454842307198,-6.79340635819074,-4.9068160562650895,-3.258584941286806,-2.248860384552211,-0.47730463661239425,0.0075,0.05098259847522945,0.16126662178101825,3.7640465104153926
em_gs,1.0,2000,0,0.0,-7.135184865951746,-7.929325996058804,0.7941411301070582,-12.15728754107609,-9.952664454426596,-7.929325996058804,-6.002506637492423,-4.355424069367913,-3.4240662134324835,-1.8766923044933996,0.0005,0.039717412689352215,0.14871529084643498,1.0215179067894427
em_gs,2.0,2000,0,0.0,-8.267323609302785,-9.136728223472776,0.8694046141699907,-12.94817430087874,-11.112065241397444,-9.136728223472776,-7.163715004797135,-5.466962491106354,-4.559340305203012,-2.8618972491299566,0.0005,0.04274745790722224,0.15345863389996592,1.0493766561725257
em_gs,3.0,2000,0,0.0,-9.425159753318997,-10.205355582274269,0.7801958289552715,-14.294948266241708,-12.246653154301763,-10.205355582274269,-8.36445144659179,-6.671477907172642,-5.807204423347584,-3.945968040360661,0.0,0.04565581999500785,0.15455123914933647,0.7696855475417999
em_gs,4.0,2000,0,0.0,-10.463315857745341,-11.213079326553386,0.7497634688080446,-15.17433368063151,-13.23184279521659,-11.213079326553386,-9.315831546890264,-7.782098477836036,-6.796897651893929,-5.34157212113065,0.0,0.03997618790863683,0.14769947388268012,0.6139394708522794
em_gs,5.0,2000,0,0.0,-11.425156147103149,-12.133197065874166,0.708040918771017,-15.947292213548078,-14.147300559179353,-12.133197065874166,-10.333126299497955,-8.785276366171043,-7.972857579117854,-6.373044031660533,0.0,0.041068985173679254,0.14473996571265077,0.4591759919528026
em_gs,6.0,2000,0,0.0,-12.597574262513874,-13.21935893778443,0.6217846752705558,-17.30799317559726,-15.293329735931838,-13.21935893778443,-11.480679966233554,-9.947267852968846,-9.273237407802066,-7.861797199781158,0.0,0.04396218476660362,0.14348837039803966,0.45926166107288946
em_gs,7.0,2000,0,0.0,-13.651927336766672,-14.374462198250713,0.722534861484041,-18.42934230483695,-16.45933443577588,-14.374462198250713,-12.533787404200654,-10.93083902396476,-10.109120714097804,-8.314354435674828,0.0,0.040892608700205786,0.14644995734357366,0.23685249864734217
em_gs,8.0,2000,0,0.0,-14.697155223217287,-15.343316570831536,0.6461613476142496,-19.282164459975448,-17.40042721689311,-15.343316570831536,-13.52468555984844,-12.107050741146939,-11.268390925889804,-9.721697265235475,0.0,0.03898203291769835,0.1401781374081828,0.21492786491540392
em_gs,9.0,2000,0,0.0,-15.730561188969599,-16.399940622233988,0.669379433264389,-20.529221524198327,-18.509684224503612,-16.399940622233988,-14.613232944344785,-13.041654150375667,-12.174023881535055,-10.629493273768862,0.0,0.037344560299736144,0.14350918055981987,0.11937751519444302
em_gs,10.0,2000,0,0.0,-16.689593144686754,-17.36342255755346,0.6738294128667057,-21.645848120472444,-19.531795579539686,-17.36342255755346,-15.566973322436402,-13.945758081024483,-13.131291951766038,-11.749028644051855,0.0,0.040378263154284964,0.14603668262466712,0.12345944038204722
em_gs,11.0,2000,0,0.0,-17.7855524097714,-18.46995476408085,0.684402354309448,-22.632887390136844,-20.570086087983604,-18.46995476408085,-16.644877188679594,-15.048298283858411,-14.293478425129605,-12.680996821191181,0.0,0.03705448832606752,0.140533365733928,0.10067283843239976
